variant,final_accuracy,final_loss,total_sim_time_s,final_theoretical,final_empirical,final_kappa_mean,final_ratios_shape
naive,0.9057,0.3258989120483398,0.9323392106983839,2.1318760025941423,0.11566680297255516,0.01317283153860801,"(12,)"
ef,0.9061,0.3257694938659668,0.5931469695422495,2.2514979045245966,0.12709153443574905,0.01777497455344847,"(12,)"
per_layer,0.906,0.32585236206054685,0.804525306717205,3.827326223752644,0.5342378020299715,0.03542416087711138,"(12, 3)"
per_layer_ef,0.9071,0.3265876304626465,0.5286036489221649,32.69411073252411,125.06033492088318,0.9762549697038635,"(12, 3)"
