scheme,epsilon,round,sim_time_s,round_time_s,bottleneck_worker,test_accuracy,test_loss
none,0.09077422201633453,14,0.12058816000000003,0.008039210666666666,0,0.4433,2.0584892700195314
none,0.09077422201633453,29,0.2411763199999999,0.008039210666666666,0,0.6635,1.5594988220214843
none,0.09077422201633453,44,0.3617644800000001,0.008039210666666666,0,0.7677,0.996168960571289
none,0.09077422201633453,59,0.4823526400000004,0.008039210666666666,0,0.8408,0.7042884246826172
none,0.09077422201633453,74,0.6029408000000006,0.008039210666666666,0,0.8601,0.5697423034667969
none,0.09077422201633453,89,0.7235289600000009,0.008039210666666666,0,0.8773,0.49098040008544924
none,0.09077422201633453,104,0.8441171200000012,0.008039210666666666,0,0.8799,0.44304081573486326
none,0.09077422201633453,119,0.9647052800000014,0.008039210666666666,0,0.888,0.4074018493652344
none,0.09077422201633453,134,1.0852934400000016,0.008039210666666666,0,0.8936,0.38302452850341795
none,0.09077422201633453,149,1.2058816000000019,0.008039210666666666,0,0.8949,0.3654052604675293
uniform,0.09077422201633453,14,0.110179344,0.007345289600000001,0,0.4433,2.058496856689453
uniform,0.09077422201633453,29,0.220358688,0.007345289600000001,0,0.6633,1.5595118560791015
uniform,0.09077422201633453,44,0.33053803200000026,0.007345289600000001,0,0.7675,0.9962333740234375
uniform,0.09077422201633453,59,0.44071737600000066,0.007345289600000001,0,0.8409,0.7043180145263672
uniform,0.09077422201633453,74,0.550896720000001,0.007345289600000001,0,0.8601,0.5697783721923828
uniform,0.09077422201633453,89,0.6610760640000014,0.007345289600000001,0,0.8773,0.490984407043457
uniform,0.09077422201633453,104,0.7712554080000018,0.007345289600000001,0,0.8799,0.4430627593994141
uniform,0.09077422201633453,119,0.8814347520000022,0.007345289600000001,0,0.8881,0.40741165466308593
uniform,0.09077422201633453,134,0.9916140960000026,0.007345289600000001,0,0.8936,0.3830433097839355
uniform,0.09077422201633453,149,1.1017934400000016,0.007345289600000001,0,0.8949,0.365414697265625
greedy,0.09077422201633453,14,0.10363619125915638,0.006909079417277093,5,0.4432,2.058500042724609
greedy,0.09077422201633453,29,0.20727238251831268,0.006909079417277093,5,0.6636,1.5594494689941407
greedy,0.09077422201633453,44,0.310908573777469,0.006909079417277093,5,0.7676,0.9961502075195312
greedy,0.09077422201633453,59,0.4145447650366253,0.006909079417277093,5,0.8407,0.704282307434082
greedy,0.09077422201633453,74,0.5181809562957818,0.006909079417277093,5,0.8602,0.5697655853271484
greedy,0.09077422201633453,89,0.6218171475549389,0.006909079417277093,5,0.8773,0.4909671127319336
greedy,0.09077422201633453,104,0.725453338814096,0.006909079417277093,5,0.8799,0.44305018157958986
greedy,0.09077422201633453,119,0.8290895300732531,0.006909079417277093,5,0.888,0.40740869064331053
greedy,0.09077422201633453,134,0.9327257213324103,0.006909079417277093,5,0.8936,0.3830241226196289
greedy,0.09077422201633453,149,1.0363619125915668,0.006909079417277093,5,0.8952,0.36540324478149416
compressiq,0.09077422201633453,14,0.10018620324323194,0.006679080216215461,5,0.4432,2.0585287048339844
compressiq,0.09077422201633453,29,0.20037240648646393,0.006679080216215461,5,0.6634,1.5595469299316407
compressiq,0.09077422201633453,44,0.3005586097296957,0.006679080216215461,5,0.7678,0.9962071899414062
compressiq,0.09077422201633453,59,0.4007448129729273,0.006679080216215461,5,0.8407,0.7043143615722657
compressiq,0.09077422201633453,74,0.5009310162161589,0.006679080216215461,5,0.86,0.5697722274780274
compressiq,0.09077422201633453,89,0.6011172194593905,0.006679080216215461,5,0.8773,0.49098682403564453
compressiq,0.09077422201633453,104,0.701303422702622,0.006679080216215461,5,0.8798,0.44305568542480467
compressiq,0.09077422201633453,119,0.8014896259458536,0.006679080216215461,5,0.888,0.4074185272216797
compressiq,0.09077422201633453,134,0.9016758291890852,0.006679080216215461,5,0.8936,0.38303468856811523
compressiq,0.09077422201633453,149,1.0018620324323169,0.006679080216215461,5,0.8949,0.3654289077758789
none,0.22326006011977087,14,0.12058816000000003,0.008039210666666666,0,0.4433,2.0584892700195314
none,0.22326006011977087,29,0.2411763199999999,0.008039210666666666,0,0.6635,1.5594988220214843
none,0.22326006011977087,44,0.3617644800000001,0.008039210666666666,0,0.7677,0.996168960571289
none,0.22326006011977087,59,0.4823526400000004,0.008039210666666666,0,0.8408,0.7042884246826172
none,0.22326006011977087,74,0.6029408000000006,0.008039210666666666,0,0.8601,0.5697423034667969
none,0.22326006011977087,89,0.7235289600000009,0.008039210666666666,0,0.8773,0.49098040008544924
none,0.22326006011977087,104,0.8441171200000012,0.008039210666666666,0,0.8799,0.44304081573486326
none,0.22326006011977087,119,0.9647052800000014,0.008039210666666666,0,0.888,0.4074018493652344
none,0.22326006011977087,134,1.0852934400000016,0.008039210666666666,0,0.8936,0.38302452850341795
none,0.22326006011977087,149,1.2058816000000019,0.008039210666666666,0,0.8949,0.3654052604675293
uniform,0.22326006011977087,14,0.1042641977270665,0.006950946515137767,0,0.4432,2.058535919189453
uniform,0.22326006011977087,29,0.20852839545413315,0.006950946515137767,0,0.6633,1.5596251403808594
uniform,0.22326006011977087,44,0.31279259318119984,0.006950946515137767,0,0.7676,0.9962678283691406
uniform,0.22326006011977087,59,0.41705679090826653,0.006950946515137767,0,0.841,0.7042930755615234
uniform,0.22326006011977087,74,0.521320988635333,0.006950946515137767,0,0.8602,0.569752262878418
uniform,0.22326006011977087,89,0.6255851863623989,0.006950946515137767,0,0.8773,0.49097630920410157
uniform,0.22326006011977087,104,0.7298493840894648,0.006950946515137767,0,0.8799,0.44305714492797854
uniform,0.22326006011977087,119,0.8341135818165306,0.006950946515137767,0,0.8881,0.4073955863952637
uniform,0.22326006011977087,134,0.9383777795435965,0.006950946515137767,0,0.8936,0.38301587448120117
uniform,0.22326006011977087,149,1.042641977270663,0.006950946515137767,0,0.895,0.3653844009399414
greedy,0.22326006011977087,14,0.0940026868609342,0.006266845790728944,5,0.4433,2.0585277282714842
greedy,0.22326006011977087,29,0.1880053737218684,0.006266845790728944,5,0.6633,1.5595902770996093
greedy,0.22326006011977087,44,0.2820080605828026,0.006266845790728944,5,0.7676,0.9962650421142578
greedy,0.22326006011977087,59,0.3760107474437368,0.006266845790728944,5,0.8408,0.7043238433837891
greedy,0.22326006011977087,74,0.470013434304671,0.006266845790728944,5,0.8602,0.5697737335205079
greedy,0.22326006011977087,89,0.5640161211656046,0.006266845790728944,5,0.8773,0.4909859161376953
greedy,0.22326006011977087,104,0.658018808026538,0.006266845790728944,5,0.8798,0.44306421585083006
greedy,0.22326006011977087,119,0.7520214948874714,0.006266845790728944,5,0.8881,0.40741929626464846
greedy,0.22326006011977087,134,0.8460241817484048,0.006266845790728944,5,0.8936,0.38302952041625976
greedy,0.22326006011977087,149,0.9400268686093382,0.006266845790728944,5,0.895,0.3654064659118652
compressiq,0.22326006011977087,14,0.08859213156044371,0.0059061421040295815,5,0.4432,2.058531530761719
compressiq,0.22326006011977087,29,0.17718426312088753,0.0059061421040295815,5,0.6632,1.5596369873046876
compressiq,0.22326006011977087,44,0.26577639468133135,0.0059061421040295815,5,0.7677,0.996268881225586
compressiq,0.22326006011977087,59,0.35436852624177484,0.0059061421040295815,5,0.8409,0.704322607421875
compressiq,0.22326006011977087,74,0.4429606578022183,0.0059061421040295815,5,0.86,0.5697756439208984
compressiq,0.22326006011977087,89,0.5315527893626621,0.0059061421040295815,5,0.8773,0.4909951156616211
compressiq,0.22326006011977087,104,0.6201449209231065,0.0059061421040295815,5,0.8799,0.44305112915039063
compressiq,0.22326006011977087,119,0.7087370524835508,0.0059061421040295815,5,0.888,0.40741594314575197
compressiq,0.22326006011977087,134,0.7973291840439951,0.0059061421040295815,5,0.8936,0.3830416297912598
compressiq,0.22326006011977087,149,0.8859213156044394,0.0059061421040295815,5,0.8949,0.36541808395385744
none,0.5491102356758757,14,0.12058816000000003,0.008039210666666666,0,0.4433,2.0584892700195314
none,0.5491102356758757,29,0.2411763199999999,0.008039210666666666,0,0.6635,1.5594988220214843
none,0.5491102356758757,44,0.3617644800000001,0.008039210666666666,0,0.7677,0.996168960571289
none,0.5491102356758757,59,0.4823526400000004,0.008039210666666666,0,0.8408,0.7042884246826172
none,0.5491102356758757,74,0.6029408000000006,0.008039210666666666,0,0.8601,0.5697423034667969
none,0.5491102356758757,89,0.7235289600000009,0.008039210666666666,0,0.8773,0.49098040008544924
none,0.5491102356758757,104,0.8441171200000012,0.008039210666666666,0,0.8799,0.44304081573486326
none,0.5491102356758757,119,0.9647052800000014,0.008039210666666666,0,0.888,0.4074018493652344
none,0.5491102356758757,134,1.0852934400000016,0.008039210666666666,0,0.8936,0.38302452850341795
none,0.5491102356758757,149,1.2058816000000019,0.008039210666666666,0,0.8949,0.3654052604675293
uniform,0.5491102356758757,14,0.0949875783115394,0.006332505220769292,0,0.4431,2.0585981384277345
uniform,0.5491102356758757,29,0.18997515662307865,0.006332505220769292,0,0.6633,1.5597294494628906
uniform,0.5491102356758757,44,0.2849627349346179,0.006332505220769292,0,0.7674,0.9963623199462891
uniform,0.5491102356758757,59,0.3799503132461571,0.006332505220769292,0,0.8407,0.7043369415283203
uniform,0.5491102356758757,74,0.4749378915576963,0.006332505220769292,0,0.8601,0.5697597320556641
