variant,round,sim_time_s,round_time_s,bottleneck_worker,test_accuracy,test_loss,theoretical_error,empirical_error,kappa_mean,epsilon,recalibrated
naive,9,0.027714480829835568,0.002771448082983557,5,0.3988,2.158192687988281,1.3089840360970326,0.5913301557302475,0.20113115026611936,1.361613330245018,False
naive,19,0.055428961659671164,0.002771448082983557,5,0.5278,1.928808380126953,2.0167427064536483,0.9689667224884033,0.12474212458380157,1.361613330245018,False
naive,25,0.07389406964833055,0.004607867573741586,5,0.6325,1.7231511474609376,1.2689270743059047,0.29982899874448776,0.10607476989057778,1.361613330245018,True
naive,29,0.09232553994329688,0.004607867573741586,5,0.6484,1.563377362060547,1.3250879862695575,0.10739956051111221,0.055767415564661894,1.361613330245018,False
naive,39,0.13840421568071276,0.004607867573741586,5,0.7375,1.1565251892089843,1.6891094531129793,0.10998605936765671,0.02190762593475695,1.361613330245018,False
naive,49,0.18448289141812874,0.004607867573741586,5,0.81,0.8733192260742187,1.9655888158099715,0.10835592076182365,0.015533004341229376,1.361613330245018,False
naive,50,0.18951157174290656,0.0050286803247778355,5,0.8094,0.8516181457519532,1.407961825927505,0.06318988278508186,0.014726462834096633,1.361613330245018,True
naive,59,0.23476969466590697,0.0050286803247778355,5,0.836,0.7051166519165039,1.6997722632813799,0.06405811570584774,0.01070907215869025,1.361613330245018,False
naive,69,0.2850564979136852,0.0050286803247778355,5,0.8385,0.6098994323730469,1.3502641557847752,0.048697483725845814,0.010044090181890624,1.361613330245018,False
naive,75,0.31474384131220146,0.004543941774627135,5,0.8457,0.5882682540893555,15.645601144843651,0.5909533351659775,0.009503099736141603,1.361613330245018,True
naive,79,0.33291960841071,0.004543941774627135,5,0.8635,0.5376891952514649,2.078760395584208,0.08161871135234833,0.011311706192837301,1.361613330245018,False
naive,89,0.37835902615698136,0.004543941774627135,5,0.8754,0.49038944702148435,1.4265473757966798,0.08447275869548321,0.013456192287519484,1.361613330245018,False
naive,99,0.4237984439032527,0.004543941774627135,5,0.8809,0.4553879425048828,1.6324367854160393,0.09099826961755753,0.014227422870759732,1.361613330245018,False
naive,100,0.4289806080130541,0.00518216410980139,9,0.8804,0.4506339706420898,1.5123777306948396,0.05523304920643568,0.013389634857941453,1.361613330245018,True
naive,109,0.4756200850012665,0.00518216410980139,9,0.8859,0.4284297882080078,1.902027191158542,0.06258584186434746,0.009383649836773396,1.361613330245018,False
naive,119,0.5274417260992806,0.00518216410980139,9,0.8892,0.40733374099731445,1.0370396980367376,0.03340013325214386,0.00836112538747192,1.361613330245018,False
naive,125,0.5588734917553114,0.005520945107023572,0,0.889,0.399130086517334,1.0462062243681305,0.036545795388519764,0.008674712797463168,1.361613330245018,True
naive,129,0.5809572721834059,0.005520945107023572,0,0.8907,0.3923789970397949,1.118705042931126,0.03270289022475481,0.007760693825966163,1.361613330245018,False
naive,139,0.636166723253642,0.005520945107023572,0,0.8952,0.3761815704345703,1.3884317830901878,0.044492872431874275,0.007478920948535782,1.361613330245018,False
naive,149,0.6913761743238781,0.005520945107023572,0,0.8983,0.3653802520751953,1.2181166766574838,0.028432614170014858,0.0068812531048399765,1.361613330245018,False
naive,150,0.6964423014539943,0.005066127130116177,5,0.8955,0.36385942764282225,1.7960309994367871,0.06882221717387438,0.007334335499869146,1.361613330245018,True
naive,159,0.7420374456250404,0.005066127130116177,5,0.8997,0.35503059921264646,1.339186498641653,0.053927794098854065,0.009602061855326574,1.361613330245018,False
naive,169,0.7926987169262026,0.005066127130116177,5,0.9004,0.3462719444274902,1.3380306676224796,0.05395505018532276,0.010044659752064346,1.361613330245018,False
naive,175,0.8226017469016478,0.004572394324864,9,0.8997,0.3441461082458496,1.7704206830967955,0.06271196436136961,0.009353408296480835,1.361613330245018,True
naive,179,0.8408913242011038,0.004572394324864,9,0.9022,0.34086423263549803,2.3804519448447445,0.13518917746841908,0.012857613251398343,1.361613330245018,False
naive,189,0.8866152674497438,0.004572394324864,9,0.9037,0.3352818832397461,2.086716872499437,0.1023794561624527,0.013116449610376278,1.361613330245018,False
naive,199,0.9323392106983839,0.004572394324864,9,0.9057,0.3258989120483398,2.1318760025941423,0.11566680297255516,0.01317283153860801,1.361613330245018,False
