scheme,K,round,sim_time_s,round_time_s,test_accuracy,test_loss,theoretical_error,empirical_error,epsilon,recalibrated,alpha_w0,alpha_w1,alpha_w2,alpha_w3,alpha_w4,alpha_w5,alpha_w6,alpha_w7,r_w0,r_w1,r_w2,r_w3,r_w4,r_w5,r_w6,r_w7
static,0,4,0.005926324442986656,0.0011852648885973312,0.2124,2.234700799560547,1.3608494466005685,2.321991468546912,2.135229957103729,False,0.6196687817573547,0.6173453330993652,0.9292988181114197,0.8477376103401184,0.5599475502967834,0.7118910551071167,0.6510965824127197,0.5208845138549805,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,9,0.011852648885973312,0.0011852648885973312,0.3588,2.1604151428222655,1.6661817554266505,4.107777504832484,2.135229957103729,False,0.698257327079773,0.6458909511566162,0.6985985636711121,0.752412736415863,0.6262328028678894,0.7972087264060974,0.6308466196060181,0.8054717779159546,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,14,0.017778973328959967,0.0011852648885973312,0.4584,2.0650218688964843,1.9771169948804712,5.943431520019658,2.135229957103729,False,0.9631366729736328,0.8244026303291321,0.823790431022644,1.0626851320266724,1.1496880054473877,0.9829139113426208,1.060889720916748,0.8292636871337891,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,19,0.023705297771946632,0.0011852648885973312,0.5142,1.935390838623047,2.8043941499877816,8.876128511386923,2.135229957103729,False,1.1664191484451294,1.4598524570465088,1.2707602977752686,1.2171012163162231,1.0120668411254883,1.2273423671722412,1.3135721683502197,1.4186115264892578,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,24,0.029631622214933297,0.0011852648885973312,0.581,1.7705960632324218,3.46215728473484,11.43896932573989,2.135229957103729,False,1.6799750328063965,1.449822187423706,1.4571850299835205,1.2900618314743042,1.693349838256836,1.4719831943511963,1.6724483966827393,1.789736032485962,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,29,0.03555794665791996,0.0011852648885973312,0.6409,1.5836097747802735,4.140966947763802,14.179600889096037,2.135229957103729,False,1.8434511423110962,1.5526525974273682,1.922062635421753,2.0981922149658203,1.5064876079559326,1.6179192066192627,1.8534480333328247,2.306516408920288,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,34,0.041484271100906626,0.0011852648885973312,0.7032,1.3675856964111328,5.313532014719762,16.973808080656454,2.135229957103729,False,2.139921188354492,2.312063694000244,2.077786445617676,1.7846601009368896,2.7246484756469727,2.682095766067505,2.4250035285949707,2.3838648796081543,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,39,0.04741059554389329,0.0011852648885973312,0.7416,1.1711152221679688,5.220893635107915,17.845681932987645,2.135229957103729,False,2.0813426971435547,2.3833060264587402,2.082430362701416,2.4752490520477295,2.230741024017334,2.180283308029175,3.0462546348571777,2.708280563354492,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,44,0.053336919986879956,0.0011852648885973312,0.7741,1.00870703125,4.489685485599434,15.991389587987214,2.135229957103729,False,1.6987481117248535,1.983412265777588,2.2469921112060547,2.60577130317688,1.8709335327148438,2.417160987854004,1.784492015838623,1.7955877780914307,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,49,0.05926324442986662,0.0011852648885973312,0.7936,0.8874848785400391,5.49343742792829,13.183733825804666,2.135229957103729,False,2.2111992835998535,4.062473297119141,1.9383394718170166,1.8287248611450195,1.3976919651031494,2.5232629776000977,2.246763229370117,2.733764171600342,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,54,0.06518956887285327,0.0011852648885973312,0.8145,0.7874966125488281,4.434057793108325,10.982028551399708,2.135229957103729,False,2.901813507080078,1.5393877029418945,1.8629164695739746,1.5429047346115112,2.9944205284118652,1.6886358261108398,2.9328744411468506,2.3274788856506348,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,59,0.0711158933158399,0.0011852648885973312,0.8249,0.7147378952026368,4.547203491607851,9.231929535511881,2.135229957103729,False,2.170396089553833,3.871612548828125,2.1675939559936523,2.880382537841797,1.9410121440887451,1.7668967247009277,1.684729814529419,2.3025882244110107,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,64,0.07704221775882653,0.0011852648885973312,0.8315,0.6624138442993164,7.276230352951752,8.346796374651603,2.135229957103729,False,3.9801692962646484,3.127718687057495,3.176332473754883,3.4388747215270996,1.6941196918487549,2.9599356651306152,2.496163845062256,4.020901203155518,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,69,0.08296854220181316,0.0011852648885973312,0.8522,0.6081613906860351,5.653059839856894,8.144689073553309,2.135229957103729,False,3.0354084968566895,2.0600500106811523,2.4192614555358887,3.818821430206299,2.425684928894043,2.939473867416382,2.711967945098877,2.2714784145355225,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,74,0.08889486664479979,0.0011852648885973312,0.8616,0.57266611328125,5.244588711846049,7.115556826815009,2.135229957103729,False,2.306530714035034,3.052572250366211,1.7374904155731201,5.074460029602051,2.516925096511841,2.7543296813964844,2.242237091064453,1.9428045749664307,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,79,0.09482119108778642,0.0011852648885973312,0.8652,0.54009150390625,5.3535496454214915,7.289836981333792,2.135229957103729,False,2.3862431049346924,2.6043789386749268,2.905665397644043,2.4824318885803223,2.6252007484436035,1.4673514366149902,1.8738503456115723,3.5275158882141113,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,84,0.10074751553077305,0.0011852648885973312,0.869,0.5165807174682617,6.188950522893179,7.809304637950845,2.135229957103729,False,2.286390542984009,2.5538790225982666,3.214963912963867,3.778075695037842,1.1837114095687866,4.183850288391113,2.498070240020752,1.7306630611419678,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,89,0.10667383997375968,0.0011852648885973312,0.8715,0.4922500228881836,5.941432137884681,7.332842456875369,2.135229957103729,False,2.059731960296631,1.9895623922348022,1.4751126766204834,2.812469959259033,4.280214309692383,2.5073044300079346,3.0216457843780518,3.1087164878845215,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,94,0.1126001644167463,0.0011852648885973312,0.8694,0.4769193099975586,4.833054945610238,7.373308654176071,2.135229957103729,False,1.5194171667099,1.5751678943634033,2.6639769077301025,2.089803695678711,2.1393067836761475,2.142723560333252,2.1196024417877197,2.4767446517944336,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,99,0.11852648885973294,0.0011852648885973312,0.8791,0.45776662139892577,6.059699851496995,6.522964142612182,2.135229957103729,False,4.474713325500488,3.0564727783203125,2.879681348800659,2.938605546951294,1.5343481302261353,2.396545886993408,0.9575717449188232,3.3403096199035645,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,104,0.12445281330271957,0.0011852648885973312,0.8803,0.44544876556396484,5.722366770569474,5.448692200006917,2.135229957103729,False,4.043051242828369,2.3036582469940186,2.4509787559509277,2.791533946990967,4.269287586212158,2.7138571739196777,3.3516106605529785,2.3497800827026367,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
